Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","1998","1998","1000 ha","463881","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","1999","1999","1000 ha","453693","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2000","2000","1000 ha","455469","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2001","2001","1000 ha","455700","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2002","2002","1000 ha","447000","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2003","2003","1000 ha","439500","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2004","2004","1000 ha","394906","B","Time series break",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2005","2005","1000 ha","410230","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2006","2006","1000 ha","409302","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2007","2007","1000 ha","398355.5","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2008","2008","1000 ha","389288","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2009","2009","1000 ha","384257","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2010","2010","1000 ha","376372","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2011","2011","1000 ha","396121","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2012","2012","1000 ha","387076","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2013","2013","1000 ha","371775","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2014","2014","1000 ha","374423","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2015","2015","1000 ha","348119","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2016","2016","1000 ha","342602","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2017","2017","1000 ha","371837","A","Official figure",""
