Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2008","2008","1000 ha","7916","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2009","2009","1000 ha","7916","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2010","2010","1000 ha","7917","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2011","2011","1000 ha","7915","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2012","2012","1000 ha","7914","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2013","2013","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2014","2014","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2015","2015","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2016","2016","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2017","2017","1000 ha","7910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2018","2018","1000 ha","8010","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2019","2019","1000 ha","8010","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2020","2020","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2021","2021","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2022","2022","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2023","2023","1000 ha","8116","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","1992","1992","1000 ha","483","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","1993","1993","1000 ha","493","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","1994","1994","1000 ha","500","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","1995","1995","1000 ha","494","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","1996","1996","1000 ha","506","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","1997","1997","1000 ha","498","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","1998","1998","1000 ha","493","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","1999","1999","1000 ha","488","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2000","2000","1000 ha","488","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2001","2001","1000 ha","493","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2002","2002","1000 ha","491","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2003","2003","1000 ha","494","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2004","2004","1000 ha","505","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2005","2005","1000 ha","505","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2006","2006","1000 ha","503.9","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2007","2007","1000 ha","506.1","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2008","2008","1000 ha","504.4","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2009","2009","1000 ha","502.4","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2010","2010","1000 ha","503.6","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2011","2011","1000 ha","502.6","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2012","2012","1000 ha","505.1","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2013","2013","1000 ha","505.9","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2014","2014","1000 ha","504.8","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2015","2015","1000 ha","504.3","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2016","2016","1000 ha","504.4","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2017","2017","1000 ha","504.1","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2018","2018","1000 ha","504.7","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2019","2019","1000 ha","505","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2020","2020","1000 ha","504","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2021","2021","1000 ha","503.72","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2022","2022","1000 ha","503.93","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2023","2023","1000 ha","503.4","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","1992","1992","1000 ha","2014.8","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","1993","1993","1000 ha","2026.3","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","1994","1994","1000 ha","2032.3","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","1995","1995","1000 ha","2035.8","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","1996","1996","1000 ha","2047.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","1997","1997","1000 ha","2062","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","1998","1998","1000 ha","2059.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","1999","1999","1000 ha","2061.8","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2000","2000","1000 ha","2062.4","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2001","2001","1000 ha","2062.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2002","2002","1000 ha","2063.2","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2003","2003","1000 ha","2064.3","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2004","2004","1000 ha","2063.5","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2005","2005","1000 ha","2064.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2006","2006","1000 ha","2062.4","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2007","2007","1000 ha","2078.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2008","2008","1000 ha","2087.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2009","2009","1000 ha","2101.1","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2010","2010","1000 ha","2111.5","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2011","2011","1000 ha","2112.9","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2012","2012","1000 ha","2127.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2013","2013","1000 ha","2155.6","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2014","2014","1000 ha","2160","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2015","2015","1000 ha","2174.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2016","2016","1000 ha","2240","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2017","2017","1000 ha","2341.3","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2018","2018","1000 ha","2352.9","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2019","2019","1000 ha","2356.3","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2020","2020","1000 ha","2357","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2021","2021","1000 ha","2363","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2022","2022","1000 ha","2365.5","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2023","2023","1000 ha","2365.1","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1990","1990","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1991","1991","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1992","1992","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1993","1993","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1994","1994","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1995","1995","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1996","1996","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1997","1997","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1998","1998","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","1999","1999","1000 ha","6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2000","2000","1000 ha","5.9","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2001","2001","1000 ha","5.79","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2002","2002","1000 ha","5.69","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2003","2003","1000 ha","5.58","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2004","2004","1000 ha","5.48","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2005","2005","1000 ha","5.37","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2006","2006","1000 ha","5.27","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2007","2007","1000 ha","5.16","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2008","2008","1000 ha","5.06","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2009","2009","1000 ha","4.95","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2010","2010","1000 ha","4.85","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2011","2011","1000 ha","4.74","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2012","2012","1000 ha","4.64","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2013","2013","1000 ha","4.53","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2014","2014","1000 ha","4.43","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2015","2015","1000 ha","4.32","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2016","2016","1000 ha","4.22","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2017","2017","1000 ha","4.11","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2018","2018","1000 ha","4.1","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2019","2019","1000 ha","4.1","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2020","2020","1000 ha","4.1","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2021","2021","1000 ha","4.1","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2022","2022","1000 ha","4.1","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2023","2023","1000 ha","4.1","I","Value imputed by a receiving agency",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1990","1990","1000 ha","9786","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1991","1991","1000 ha","9720","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1992","1992","1000 ha","8949","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1993","1993","1000 ha","8846","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1994","1994","1000 ha","8758","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1995","1995","1000 ha","8774","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1996","1996","1000 ha","8727","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1997","1997","1000 ha","8765","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1998","1998","1000 ha","8834","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","1999","1999","1000 ha","8886","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2000","2000","1000 ha","8800","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2001","2001","1000 ha","8803","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2002","2002","1000 ha","8753","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2003","2003","1000 ha","8728","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2004","2004","1000 ha","8723","A","Official figure",""
