Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1990","1990","1000 ha","38040","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1991","1991","1000 ha","38030","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1992","1992","1000 ha","38030","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1993","1993","1000 ha","37934","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1994","1994","1000 ha","37813","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1995","1995","1000 ha","37763","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1996","1996","1000 ha","37757","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1997","1997","1000 ha","37795","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1998","1998","1000 ha","37868","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","1999","1999","1000 ha","37764","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2000","2000","1000 ha","37794","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2001","2001","1000 ha","37795","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2002","2002","1000 ha","37790","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2003","2003","1000 ha","37884","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2004","2004","1000 ha","37928","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2005","2005","1000 ha","37917","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2006","2006","1000 ha","37910","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2007","2007","1000 ha","37914","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2008","2008","1000 ha","37916","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2009","2009","1000 ha","37916","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2010","2010","1000 ha","37917","I","Value imputed by a receiving agency",""
