Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1990","1990","1000 ha","1.93","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1991","1991","1000 ha","1.964","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1992","1992","1000 ha","1.998","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1993","1993","1000 ha","2.032","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1994","1994","1000 ha","2.066","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1995","1995","1000 ha","2.1","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1996","1996","1000 ha","2.134","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1997","1997","1000 ha","2.168","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1998","1998","1000 ha","2.202","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","1999","1999","1000 ha","2.236","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2000","2000","1000 ha","2.27","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2001","2001","1000 ha","2.3","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2002","2002","1000 ha","2.33","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2003","2003","1000 ha","2.36","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2004","2004","1000 ha","2.39","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2005","2005","1000 ha","2.42","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2006","2006","1000 ha","2.45","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2007","2007","1000 ha","2.48","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2008","2008","1000 ha","2.51","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2009","2009","1000 ha","2.54","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2010","2010","1000 ha","2.57","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2011","2011","1000 ha","2.6","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2012","2012","1000 ha","2.63","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2013","2013","1000 ha","2.66","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2014","2014","1000 ha","2.69","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2015","2015","1000 ha","2.72","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2016","2016","1000 ha","2.75","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2017","2017","1000 ha","2.78","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2018","2018","1000 ha","2.81","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2019","2019","1000 ha","2.84","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2020","2020","1000 ha","2.87","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2021","2021","1000 ha","2.9","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2022","2022","1000 ha","2.9","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2023","2023","1000 ha","2.96","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1990","1990","1000 ha","17137","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1991","1991","1000 ha","17382","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1992","1992","1000 ha","16404","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1993","1993","1000 ha","17297","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1994","1994","1000 ha","18043","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1995","1995","1000 ha","17040","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1996","1996","1000 ha","19409","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1997","1997","1000 ha","21133","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1998","1998","1000 ha","21595","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","1999","1999","1000 ha","23264","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2000","2000","1000 ha","23769","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2001","2001","1000 ha","24520","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2002","2002","1000 ha","24060","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2003","2003","1000 ha","23575","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2004","2004","1000 ha","26080","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2005","2005","1000 ha","26742","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2006","2006","1000 ha","24565","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2007","2007","1000 ha","23530","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2008","2008","1000 ha","24374","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2009","2009","1000 ha","27511","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2010","2010","1000 ha","25968","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2011","2011","1000 ha","32078","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2012","2012","1000 ha","31993","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2013","2013","1000 ha","31611","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2014","2014","1000 ha","32307","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2015","2015","1000 ha","31397","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2016","2016","1000 ha","30378","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2017","2017","1000 ha","31074","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2018","2018","1000 ha","31306","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2019","2019","1000 ha","30920","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2020","2020","1000 ha","30996","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2021","2021","1000 ha","31650","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2022","2022","1000 ha","31650","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2023","2023","1000 ha","31374.6782","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1990","1990","1000 ha","6","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1991","1991","1000 ha","6","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1992","1992","1000 ha","5","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1993","1993","1000 ha","5","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1994","1994","1000 ha","5","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1995","1995","1000 ha","5","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1996","1996","1000 ha","4.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1997","1997","1000 ha","4.8","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1998","1998","1000 ha","4.7","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","1999","1999","1000 ha","4.6","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2000","2000","1000 ha","4.5","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2001","2001","1000 ha","4.4","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2002","2002","1000 ha","3.3","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2003","2003","1000 ha","2.7","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2004","2004","1000 ha","2.6","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2005","2005","1000 ha","2.5","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2006","2006","1000 ha","2.4","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2007","2007","1000 ha","2.3","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2008","2008","1000 ha","2.2","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2009","2009","1000 ha","2.1","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2010","2010","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2011","2011","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2012","2012","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2013","2013","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2014","2014","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2015","2015","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2016","2016","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2017","2017","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2018","2018","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2019","2019","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2021","2021","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2022","2022","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2023","2023","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1990","1990","1000 ha","240","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1991","1991","1000 ha","251","A","Official figure",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1992","1992","1000 ha","245.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1993","1993","1000 ha","239.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1994","1994","1000 ha","233.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1995","1995","1000 ha","227.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1996","1996","1000 ha","222","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1997","1997","1000 ha","216.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1998","1998","1000 ha","210.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","1999","1999","1000 ha","204.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2000","2000","1000 ha","198.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2001","2001","1000 ha","193","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2002","2002","1000 ha","187.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2003","2003","1000 ha","181.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2004","2004","1000 ha","175.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2005","2005","1000 ha","169.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2006","2006","1000 ha","164","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2007","2007","1000 ha","158.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2008","2008","1000 ha","152.4","I","Value imputed by a receiving agency",""
